0,1,2,3
-5.467451,-5.581979,-6.044674,-5.6265926
-4.2413697,-4.286998,-4.5977035,-4.3901305
-5.179581,-5.2299347,-5.6744676,-5.4088726
-4.461106,-4.507452,-4.850764,-4.66802
-4.672038,-4.712245,-5.073642,-4.828274
-4.5040884,-4.549808,-4.938494,-4.761141
-4.890283,-4.9474254,-5.3529215,-5.165867
-4.438726,-4.486927,-4.8130326,-4.5915914
-5.5014157,-5.527196,-5.993581,-5.8184776
-4.263983,-4.30925,-4.6355643,-4.4604144
-4.6091666,-4.644736,-4.9975076,-4.7969875
-5.420405,-5.4794345,-5.892995,-5.6272616
-4.7224717,-4.7498302,-5.121475,-4.898757
-4.5361285,-4.581122,-4.942545,-4.7522964
-5.8074408,-5.8416367,-6.3757057,-6.018195
-4.45713,-4.516229,-4.8756704,-4.659059
-4.488091,-4.530318,-4.8813696,-4.6896605
-6.079508,-6.129759,-6.704766,-6.303714
-4.9031754,-4.930649,-5.375156,-5.202469
-4.2699413,-4.3140626,-4.628986,-4.422184
-5.5024657,-5.532177,-6.063338,-5.8424964
-5.6031117,-5.629698,-6.1102448,-5.7856784
-4.569111,-4.664662,-5.0280886,-4.738661
-4.676417,-4.7342715,-5.115055,-4.901598
-5.482156,-5.55453,-6.054103,-5.6855555
-6.347412,-6.3856773,-7.0337,-6.770375
-4.527186,-4.618917,-5.0010047,-4.7154627
-4.6255455,-4.6859236,-5.0781665,-4.885981
-5.1841106,-5.284073,-5.763809,-5.432379
-5.1962023,-5.276204,-5.746414,-5.4193344
-6.812386,-6.79479,-7.473778,-7.21667
-5.5143833,-5.54886,-6.022676,-5.8117633
-4.6782274,-4.753637,-5.109446,-4.8349133
-5.760205,-5.7931824,-6.3214464,-5.977171
-5.417047,-5.4351416,-5.9254494,-5.7220597
-5.6279345,-5.6442657,-6.106982,-5.9387
-4.566773,-4.6343846,-4.9880176,-4.725505
-5.6638045,-5.6680775,-6.1409492,-5.87378
-4.306087,-4.3881555,-4.725634,-4.457628
-5.3082676,-5.364196,-5.8323917,-5.547621
-5.2152667,-5.250325,-5.700511,-5.412712
-5.2992816,-5.3705163,-5.8348145,-5.5251555
-4.9643917,-4.9938035,-5.4192915,-5.221233
-6.176211,-6.2210593,-6.7197485,-6.4881806
-4.544565,-4.634417,-4.983644,-4.7041616
-6.841621,-6.869967,-7.5061116,-7.269552
-4.9656425,-4.9787016,-5.3541183,-5.158894
-4.8158875,-4.8604145,-5.219409,-4.969242
-4.714917,-4.842281,-5.1868925,-4.8519526
-4.754883,-4.796274,-5.1836267,-4.9993815
-4.6505985,-4.7105956,-5.0880857,-4.9029756
-4.900789,-4.953273,-5.376302,-5.138076
-4.7588835,-4.8439527,-5.2157,-4.9360723
-4.516654,-4.562847,-4.94155,-4.7388535
-4.5612693,-4.6642566,-5.0487413,-4.7507725
-4.643961,-4.6837277,-5.060301,-4.86736
-4.3619704,-4.410776,-4.7284017,-4.5038457
-4.7121015,-4.764919,-5.142882,-4.920693
-5.45703,-5.4921107,-5.964366,-5.724104
-4.802827,-4.838232,-5.2524047,-5.0699034
-4.3564663,-4.44146,-4.775626,-4.505917
-4.3068104,-4.3679447,-4.7161493,-4.483834
-4.624741,-4.6580076,-5.040719,-4.841025
-4.3707523,-4.433233,-4.7819963,-4.5268254
-5.31644,-5.3924847,-5.841113,-5.483233
-4.2808475,-4.333422,-4.6406593,-4.421292
-4.901154,-4.954277,-5.3790946,-5.138049
-4.651258,-4.709246,-5.056704,-4.8238797
-5.2639017,-5.299343,-5.7509155,-5.500592
-4.4900975,-4.5679293,-4.9398317,-4.6782513
-4.9233136,-4.953776,-5.3513393,-5.153759
-4.453798,-4.517588,-4.9148703,-4.707035
-5.946425,-5.974962,-6.5248504,-6.2538877
-5.49201,-5.520389,-6.058668,-5.8414
-4.6544213,-4.7199817,-5.079497,-4.810767
-4.6037536,-4.684234,-5.094945,-4.7993293
-4.6421885,-4.6725593,-5.051203,-4.88523
-5.658004,-5.7209053,-6.1785536,-5.933176
-5.272212,-5.281492,-5.763947,-5.5696754
-4.454679,-4.499359,-4.8713384,-4.666613
-5.566821,-5.6353374,-6.073491,-5.8512406
-4.5500875,-4.6283226,-5.0175323,-4.778927
-5.152624,-5.2020936,-5.666306,-5.3857703
-4.981776,-5.0154977,-5.4576435,-5.2762628
-4.9557085,-5.000957,-5.3770947,-5.1628532
-5.088256,-5.2049127,-5.5918303,-5.226616
-4.93544,-4.937143,-5.348603,-5.210623
-6.0385594,-6.070942,-6.626747,-6.2840056
